number;id;comments;title;createdAt;closedAt
600;MDU6SXNzdWU0NjQyNDQxMDI=;{'totalCount': 1};Add resources to every topic;2019-07-04T12:37:41Z;2019-07-04T13:35:25Z
602;MDU6SXNzdWU0NjQ5NjQyNTE=;{'totalCount': 1};Content for study;2019-07-07T15:29:08Z;2019-07-10T06:41:12Z
604;MDU6SXNzdWU0NjU0Njc3OTI=;{'totalCount': 2};Add OWASP Top 10;2019-07-08T21:28:14Z;2020-01-03T20:48:34Z
606;MDU6SXNzdWU0Njc0ODY1NzY=;{'totalCount': 1};"Backend: no experience in UI at the ""9. Practical Time""";2019-07-12T15:54:30Z;2020-01-10T22:03:18Z
607;MDU6SXNzdWU0NzA5OTE0ODk=;{'totalCount': 2};More Roadmaps;2019-07-22T09:33:11Z;2019-08-01T14:14:57Z
608;MDU6SXNzdWU0NzExODQ0MDE=;{'totalCount': 2};Backend or frontend choice vs JavaScript;2019-07-22T16:43:20Z;2020-01-04T06:56:02Z
611;MDU6SXNzdWU0Nzk1MzQ3NTg=;{'totalCount': 5};"There is no ""C / C++"" language";2019-08-12T08:56:54Z;2020-01-10T22:02:50Z
612;MDU6SXNzdWU0Nzk2MTU4MTI=;{'totalCount': 5};Generate this Graph from using a Graph ML;2019-08-12T12:21:50Z;2020-01-03T20:47:54Z
613;MDU6SXNzdWU0ODEwNTM5NzU=;{'totalCount': 7};Network Roadmap ?;2019-08-15T08:43:53Z;2020-01-04T06:49:36Z
614;MDU6SXNzdWU0ODE2Mjg1ODY=;{'totalCount': 12};Software QA Roadmap;2019-08-16T14:11:22Z;2020-01-04T06:39:26Z
615;MDU6SXNzdWU0ODE4NDkxNjA=;{'totalCount': 1};Tailwind CSS - A Utility-First CSS Framework for Rapidly Building;2019-08-17T05:11:10Z;2020-01-03T20:43:53Z
617;MDU6SXNzdWU0OTY2MzM4NjU=;{'totalCount': 1};I am curious how to draw this picture? What tool should I use?;2019-09-21T09:06:00Z;2019-09-21T09:14:58Z
619;MDU6SXNzdWU0OTgwMjUyNzE=;{'totalCount': 2};Active 'react-testing-library' instead of 'enzyme';2019-09-25T03:21:45Z;2020-01-03T20:40:15Z
620;MDU6SXNzdWU1MDE4NTEwNjQ=;{'totalCount': 2};Android Developer Roadmap;2019-10-03T04:50:26Z;2020-01-04T07:00:28Z
621;MDU6SXNzdWU1MDI0MDgxMDc=;{'totalCount': 4};Web Security for Frontend;2019-10-04T03:43:55Z;2020-01-03T20:39:02Z
623;MDU6SXNzdWU1MDc3NDcxNzg=;{'totalCount': 1};QA Engineer roadmap;2019-10-16T10:00:57Z;2019-10-16T10:01:54Z
624;MDU6SXNzdWU1MDk1MzA0Njk=;{'totalCount': 6};Cyber Security roadmap;2019-10-20T01:19:55Z;2020-01-04T06:52:23Z
625;MDU6SXNzdWU1MTE4Njg5ODc=;{'totalCount': 4};Sass, not SASS;2019-10-24T10:58:39Z;2020-01-03T14:49:06Z
628;MDU6SXNzdWU1MTc1NTY2NzI=;{'totalCount': 3};SVG Icons for frontend roadmap;2019-11-05T05:33:57Z;2020-01-03T14:48:45Z
629;MDU6SXNzdWU1MTc4NzE2MTM=;{'totalCount': 1};Mobile Developer;2019-11-05T16:12:54Z;2020-01-04T06:44:20Z
630;MDU6SXNzdWU1MTc5OTA2NjY=;{'totalCount': 6};Roadmap for Linux Kernel Developer;2019-11-05T19:51:10Z;2020-01-04T06:49:19Z
631;MDU6SXNzdWU1MzAyNDczODA=;{'totalCount': 1};Add SVG to frond-end;2019-11-29T09:40:31Z;2020-01-03T14:47:37Z
632;MDU6SXNzdWU1MzE1OTI2NDI=;{'totalCount': 2};Do you know where your food . . . I mean compute . . . comes from?;2019-12-02T22:55:01Z;2020-01-10T21:58:09Z
633;MDU6SXNzdWU1MzU4MzYyMzk=;{'totalCount': 2};Add knowledge of some things into backend roadmap;2019-12-10T16:18:56Z;2020-01-10T21:53:52Z
634;MDU6SXNzdWU1MzcxOTkyMDI=;{'totalCount': 2};Web scraping Roadmap;2019-12-12T20:34:10Z;2019-12-12T22:03:05Z
635;MDU6SXNzdWU1NDQxNjM2MDc=;{'totalCount': 4};Make the road maps more printer friendly;2019-12-31T11:15:45Z;2020-01-04T17:56:51Z
