name;owner;url;stargazers;issues;primaryLanguage
33-js-concepts;leonardomso;https://github.com/leonardomso/33-js-concepts;{'totalCount': 31757};{'totalCount': 26};{'name': 'JavaScript'}
gulp;gulpjs;https://github.com/gulpjs/gulp;{'totalCount': 31728};{'totalCount': 1802};{'name': 'JavaScript'}
kotlin;JetBrains;https://github.com/JetBrains/kotlin;{'totalCount': 31680};{'totalCount': 0};{'name': 'Kotlin'}
material-design-lite;google;https://github.com/google/material-design-lite;{'totalCount': 31591};{'totalCount': 2144};{'name': 'HTML'}
Best-websites-a-programmer-should-visit;sdmg15;https://github.com/sdmg15/Best-websites-a-programmer-should-visit;{'totalCount': 31531};{'totalCount': 46};
brackets;adobe;https://github.com/adobe/brackets;{'totalCount': 31294};{'totalCount': 9492};{'name': 'JavaScript'}
awesome-wechat-weapp;justjavac;https://github.com/justjavac/awesome-wechat-weapp;{'totalCount': 31252};{'totalCount': 0};
v2ray-core;v2ray;https://github.com/v2ray/v2ray-core;{'totalCount': 31138};{'totalCount': 2115};{'name': 'Go'}
syncthing;syncthing;https://github.com/syncthing/syncthing;{'totalCount': 31109};{'totalCount': 4056};{'name': 'Go'}
cpython;python;https://github.com/python/cpython;{'totalCount': 30954};{'totalCount': 0};{'name': 'Python'}
etcd;etcd-io;https://github.com/etcd-io/etcd;{'totalCount': 30949};{'totalCount': 4846};{'name': 'Go'}
jest;facebook;https://github.com/facebook/jest;{'totalCount': 30855};{'totalCount': 5342};{'name': 'TypeScript'}
Projects;karan;https://github.com/karan/Projects;{'totalCount': 30716};{'totalCount': 56};
prometheus;prometheus;https://github.com/prometheus/prometheus;{'totalCount': 30659};{'totalCount': 3326};{'name': 'Go'}
jQuery-File-Upload;blueimp;https://github.com/blueimp/jQuery-File-Upload;{'totalCount': 30651};{'totalCount': 3220};{'name': 'PHP'}
discourse;discourse;https://github.com/discourse/discourse;{'totalCount': 30634};{'totalCount': 0};{'name': 'Ruby'}
